Cell	ImmClassifier_prediction
cell_706	M:Neu
cell_365	L:T:CD4:Treg
cell_401	L:T:CD4:Treg
cell_418	L:T:CD4:Treg
cell_621	L:T:CD4:Treg
cell_635	L:T:CD4:Treg
cell_641	L:T:CD4:TRM
cell_394	L:NK
cell_441	L:NK
cell_577	L:NK
cell_662	L:NK
cell_423	M:Mono:Mac
cell_454	M:Mono:Mac
cell_501	M:Mono:Mac
cell_510	M:Neu
cell_537	M:Mono:Mac
cell_585	M:Mono:Mac
cell_586	M:Neu
cell_622	M:Mono:Mac
cell_623	M:Mono:Mac
cell_639	M:Mono:Mac
cell_665	L:B
cell_382	L:B
cell_397	L:B
cell_442	L:B
cell_451	L:B
cell_499	L:B
cell_637	L:B
cell_683	L:B
cell_689	L:B
cell_697	L:B
cell_389	M:Neu
cell_456	M:Neu
cell_498	M:Mono:Mac
cell_567	M:Neu
cell_601	M:Neu
cell_605	M:Mono:Mac
cell_631	M:Mono:Mac
cell_646	M:Mono:Mac
cell_707	M:Mono:mDC
cell_367	L:NK
cell_426	L:NK
cell_481	L:NK
cell_616	L:NK
cell_694	L:NK
cell_381	L:T:CD4:Treg
cell_399	L:T:CD4:TRM
cell_402	L:T:CD4:Treg
cell_568	L:B
cell_651	L:T:CD8:EM
cell_660	L:unconvT:MAIT
cell_376	M:Neu
cell_396	M:Neu
cell_496	M:Neu
cell_570	M:Neu
cell_640	M:Mono:Mac
cell_390	L:T:CD4:Treg
cell_457	L:T:CD4:Treg
cell_479	L:T:CD4:Treg
cell_503	L:T:CD4:Treg
cell_514	L:T:CD4:Treg
cell_548	L:T:CD4:Treg
cell_591	L:B
cell_711	L:T:CD4:Treg
cell_804	L:T:CD4:TRM
cell_972	L:T:CD4:EM
cell_761	L:T:CD4:Treg
cell_823	L:T:CD4:Treg
cell_758	L:NK
cell_891	L:NK
cell_762	L:T:CD8:EM
cell_980	L:B
cell_745	L:B
cell_913	L:B
cell_1027	L:B
cell_1059	L:B
cell_1220	L:B:PC
cell_1236	L:B:PC
cell_1029	L:NK
cell_751	L:T:CD8:TRM
cell_866	L:T:CD4:Treg
cell_938	L:T:CD8:TRM
cell_956	L:T:CD8:TRM
cell_1164	L:T:CD4:Treg
cell_747	L:NK
cell_968	L:NK
cell_1004	L:NK
cell_1105	L:NK
cell_1107	L:T:CD8:EMRA
cell_1183	L:NK
cell_1189	L:NK
cell_817	L:T:CD8:EM
cell_865	L:B
cell_876	L:NK
cell_995	L:T:CD8:EM
cell_999	L:T:CD4:Treg
cell_1066	L:NK
cell_1072	L:NK
cell_1100	L:unconvT:MAIT
cell_1121	L:T:CD4:Treg
cell_1140	L:T:CD4:TRM
cell_997	L:T:CD4:Treg
cell_1032	L:T:CD4:Treg
cell_1044	L:T:CD4:Treg
cell_1088	L:T:CD4:TRM
cell_1111	L:B
cell_1117	L:unconvT:MAIT
cell_1135	L:T:CD4:Treg
cell_1187	L:T:CD8:EM
cell_816	M:pDC
cell_1005	M:Mono:Mac
cell_829	M:Mono:Mac
cell_941	M:Mono:Mac
cell_1031	M:Mono:Mac
cell_732	M:Neu
cell_875	M:Neu
cell_1145	M:Neu
cell_874	M:Mast
cell_918	M:Mast
cell_1180	M:Mono:Mac
cell_1237	L:T:CD4:TRM
cell_728	M:Mono:Mac
cell_778	M:Neu
cell_828	M:Neu
cell_1091	M:Mono:Mac
cell_776	M:Mono:Mac
cell_819	M:Mono:Mac
cell_1093	M:Mono:Mac
cell_811	L:B
cell_723	M:Neu
cell_908	M:Neu
cell_944	M:Neu
cell_983	M:Neu
cell_1081	M:Neu
cell_1124	M:Neu
cell_737	L:T:CD8:EMRA
cell_888	L:T:CD4:TRM
cell_901	L:T:CD8:EMRA
cell_1016	L:T:CD4:TRM
cell_1069	L:T:CD8:EM
cell_1115	L:T:CD4:TRM
cell_1185	L:T:CD8:EM
cell_1188	L:T:CD4:TRM
cell_1201	L:NK
cell_1217	L:T:CD8:EM
cell_736	M:Neu
cell_739	L:B
cell_890	L:T:CD8:EM
cell_950	L:T:CD8:Ex
cell_988	M:Mono:Mac
cell_1080	M:Mono:Mac
cell_725	L:T:CD4:Ex
cell_760	L:T:CD4:Treg
cell_782	M:Mast
cell_806	L:T:CD4:Treg
cell_814	L:NK
cell_834	L:B
cell_848	L:unconvT:gdT
cell_959	L:T:CD4:TRM
cell_993	L:T:CD4:Treg
cell_1023	L:T:CD4:Treg
cell_1026	M:Mono:Mac
cell_1055	L:B
cell_1096	L:T:CD4:TRM
cell_1131	L:T:CD4:Treg
cell_1133	L:T:CD4:Treg
cell_1152	L:B
cell_1223	L:T:CD8:TRM
cell_1239	L:T:CD4:Treg
cell_773	L:T:CD4:Naive
cell_1110	L:T:CD4:CM
cell_721	M:Mono:Mac
cell_726	L:T:CD4:Treg
cell_729	M:Mono:Mac
cell_749	M:Mono:Mac
cell_752	M:Mono:Mac
cell_754	L:T:CD8:TRM
cell_757	M:Neu
cell_763	M:Mono:Mac
cell_765	M:Neu
cell_775	M:Mono:Mac
cell_779	M:Mono:Mac
cell_780	M:Mono:Mac
cell_783	L:T:CD4:TRM
cell_792	M:Neu
cell_800	M:Mono:Mac
cell_813	L:B
cell_820	M:Mono:Mac
cell_825	L:B
cell_827	M:Mono:Mac
cell_833	M:Mono:Mac
cell_836	M:Mono:Mac
cell_840	M:Mono:Mac
cell_843	L:B
cell_847	M:Mono:Mac
cell_850	M:Mono:Mac
cell_856	M:Mono:Mac
cell_858	M:Mono:Mac
cell_871	M:pDC
cell_872	M:Neu
cell_881	M:Mono:Mac
cell_895	M:cDC
cell_898	L:T:CD4:Ex
cell_899	L:NK
cell_902	M:Neu
cell_903	L:B
cell_904	M:Mono:Mac
cell_912	M:Neu
cell_915	M:Mono:Mac
cell_923	M:Mono:Mac
cell_934	M:pDC
cell_936	M:Neu
cell_945	M:Mono:Mac
cell_955	M:Mono:Mac
cell_957	M:Neu
cell_964	L:B
cell_966	M:cDC
cell_970	M:Mono:Mac
cell_975	M:Mono:Mac
cell_979	M:Mono:Mac
cell_981	M:Mono:Mac
cell_985	M:Mono:Mac
cell_1000	M:pDC
cell_1003	M:Mono:Mac
cell_1007	M:cDC
cell_1022	L:B
cell_1037	M:Mono:Mac
cell_1048	M:Mono:Mac
cell_1060	L:B
cell_1062	M:Mono:Mac
cell_1075	M:Mono:Mac
cell_1116	M:Mono:Mac
cell_1120	M:Mono:Mac
cell_1143	L:T:CD4:Treg
cell_1144	L:B
cell_1146	M:Neu
cell_1147	M:Mono:Mac
cell_1169	L:T:CD4:Treg
cell_1174	M:Mono:Mac
cell_1176	M:Mono:Mac
cell_1182	M:Mono:Mac
cell_1194	M:Neu
cell_1195	M:pDC
cell_1196	M:Neu
cell_1209	L:B
cell_1225	M:cDC
cell_1230	M:Mono:Mac
cell_1238	M:Mono:Mac
cell_769	L:NK
cell_1019	L:NK
cell_1206	L:NK
cell_1218	L:NK
cell_1232	L:NK
cell_884	L:unconvT:MAIT
cell_1012	L:NK
cell_1235	L:B
cell_753	M:Mono:Mac
cell_1112	M:Neu
