Cell	ImmClassifier_prediction
TTC21.0205	L:T:CD8:EM
TTC22.0205	L:T:CD4:Treg
TTC23.0205	L:B:PC
TTC24.0205	L:B:PC
TTC25.0205	M:Mega
TTC26.0205	L:NK
TTC30.0205	L:T:CD8:TRM
TTC33.0205	L:T:CD8:EM
TTC34.0205	L:B
TTC39.0205	L:T:CD8:TRM
TTC41.0205	L:T:CD4:TRM
TTC42.0205	L:T:CD8:TRM
TTC43.0205	L:T:CD8:EM
TTC44.0205	L:T:CD8:TRM
TTC45.0205	L:T:CD8:EM
TTC46.0205	L:T:CD8:EM
TTC47.0205	L:T:CD8:EM
TTC48.0205	L:T:CD8:EM
TTC49.0205	L:T:CD8:EM
TTC50.0205	L:T:CD8:EM
TTC51.0205	L:T:CD8:TRM
TTC52.0205	L:T:CD8:TRM
TTC53.0205	L:T:CD8:TRM
TTC55.0205	L:T:CD8:TRM
TTC56.0205	L:T:CD8:EM
TTC57.0205	L:T:CD8:TRM
TTC58.0205	L:T:CD8:EM
TTC63.0205	L:T:CD8:EM
TTC64.0205	L:T:CD8:TRM
TTC65.0205	L:T:CD8:EMRA
TTC66.0205	L:T:CD8:EM
TTC67.0205	L:T:CD8:TRM
TTC68.0205	L:T:CD8:EM
TTC70.0205	L:T:CD8:TRM
TTC71.0205	L:T:CD8:TRM
TTC72.0205	L:T:CD8:Ex
TTC73.0205	L:T:CD8:EM
TTC74.0205	L:T:CD8:EM
TTC75.0205	L:T:CD8:EM
TTC76.0205	L:T:CD8:EM
TTC78.0205	L:T:CD8:EM
TTC80.0205	L:T:CD8:EM
TTC81.0205	L:T:CD8:EM
TTC82.0205	L:T:CD8:EM
TTC84.0205	L:B
TTC85.0205	L:T:CD8:EMRA
TTC86.0205	L:T:CD8:TRM
TTC87.0205	L:T:CD8:EM
TTC88.0205	L:T:CD8:EMRA
TTC90.0205	L:T:CD8:EM
TTC92.0205	M:Mega
TTC93.0205	L:T:CD8:EM
TTC94.0205	L:T:CD8:Ex
TTC95.0205	L:T:CD8:TRM
TTC96.0205	L:T:CD8:TRM
TTH22.0205	L:T:CD4:TRM
TTH29.0205	L:T:CD4:TRM
TTH31.0205	L:T:CD4:Naive
TTH33.0205	L:T:CD4:EM
TTH42.0205	L:T:CD4:Naive
TTH51.0205	L:T:CD4:Naive
TTH52.0205	L:T:CD4:TRM
TTS11.0205	L:T:CD4:Treg
TTS12.0205	L:T:CD4:Treg
TTS13.0205	L:T:CD4:Treg
TTS14.0205	L:T:CD4:Treg
TTS15.0205	L:T:CD4:Treg
TTS16.0205	L:T:CD4:Treg
TTS17.0205	L:T:CD4:Treg
TTS19.0205	L:T:CD4:Treg
TTS20.0205	L:T:CD4:Treg
TTS21.0205	L:T:CD4:Treg
TTS23.0205	M:Mega
TTS24.0205	L:T:CD4:Treg
TTS25.0205	L:T:CD4:Treg
TTS26.0205	L:T:CD4:Treg
TTS28.0205	L:T:CD4:Treg
TTS29.0205	L:T:CD4:Treg
TTS30.0205	M:Ery
TTS31.0205	L:T:CD4:Treg
TTS32.0205	L:T:CD4:Treg
TTS33.0205	L:T:CD4:Treg
TTS35.0205	L:T:CD4:Treg
TTS36.0205	L:T:CD4:Treg
TTS37.0205	L:T:CD4:Treg
TTS38.0205	L:T:CD4:Treg
TTS39.0205	L:T:CD4:Treg
TTS40.0205	L:T:CD4:Treg
TTS41.0205	L:T:CD4:Treg
TTS42.0205	L:T:CD4:Treg
TTS43.0205	L:T:CD4:Treg
TTS45.0205	L:T:CD4:Treg
TTS46.0205	L:T:CD4:Treg
TTS47.0205	L:T:CD4:Treg
TTS48.0205	L:T:CD4:Treg
TTS49.0205	L:T:CD4:Treg
TTS53.0205	L:T:CD4:Treg
TTS54.0205	L:T:CD4:EM
TTS55.0205	L:T:CD4:Treg
TTS56.0205	L:T:CD4:Treg
TTS57.0205	L:T:CD4:Treg
TTS58.0205	L:T:CD4:Treg
TTS59.0205	L:T:CD4:Treg
TTS60.0205	L:T:CD4:Treg
TTS61.0205	L:T:CD4:Treg
TTS62.0205	L:T:CD4:Treg
TTS63.0205	L:T:CD4:Naive
TTS64.0205	L:T:CD4:Treg
TTS65.0205	L:T:CD4:Treg
TTS66.0205	L:T:CD4:Treg
TTS7.0205	L:T:CD4:Treg
TTS8.0205	L:T:CD4:Treg
TTS9.0205	L:T:CD4:CM
JTC.10.0508	L:T:CD8:EMRA
JTC.1.0508	L:T:CD8:Ex
JTC.11.0508	L:T:CD8:Ex
JTC.12.0508	L:T:CD8:EMRA
JTC.13.0508	L:T:CD8:EM
JTC.14.0508	L:T:CD8:EM
JTC.15.0508	L:T:CD8:EMRA
JTC.16.0508	L:T:CD8:EMRA
JTC.17.0508	L:T:CD8:TRM
JTC.18.0508	L:T:CD8:EMRA
JTC.19.0508	L:T:CD8:EMRA
JTC.20.0508	L:T:CD8:EMRA
JTC.2.0508	L:T:CD8:EM
JTC.21.0508	L:T:CD8:TRM
JTC.22.0508	L:NK
JTC.23.0508	L:T:CD8:TRM
JTC.24.0508	L:T:CD8:EMRA
JTC.25.0508	L:T:CD8:EMRA
JTC.26.0508	L:T:CD8:EM
JTC.27.0508	L:T:CD8:EMRA
JTC.28.0508	L:T:CD8:EM
JTC.29.0508	L:NK
JTC.30.0508	L:T:CD8:Naive
JTC.3.0508	L:T:CD8:TRM
JTC.31.0508	L:T:CD8:EMRA
JTC.33.0508	L:T:CD8:EM
JTC.34.0508	L:NK
JTC.35.0508	L:T:CD8:TRM
JTC.36.0508	L:T:CD8:EMRA
JTC.37.0508	L:T:CD8:EM
JTC.38.0508	L:T:CD8:Naive
JTC.39.0508	L:T:CD8:EMRA
JTC.40.0508	L:T:CD8:Ex
JTC.4.0508	L:T:CD8:EMRA
JTC.41.0508	L:T:CD8:EMRA
JTC.43.0508	L:T:CD8:EM
JTC.44.0508	L:T:CD8:EMRA
JTC.45.0508	L:T:CD8:EMRA
JTC.46.0508	L:T:CD8:EM
JTC.47.0508	L:T:CD8:EMRA
JTC.48.0508	L:T:CD8:TRM
JTC.49.0508	L:T:CD8:TRM
JTC.50.0508	L:T:CD8:EM
JTC.5.0508	L:T:CD8:EMRA
JTC.51.0508	L:T:CD8:EM
JTC.52.0508	L:T:CD8:EM
JTC.53.0508	L:T:CD8:TRM
JTC.54.0508	L:T:CD8:EM
JTC.55.0508	L:T:CD8:EM
JTC.56.0508	L:T:CD8:EM
JTC.57.0508	L:T:CD8:TRM
JTC.58.0508	L:T:CD8:EM
JTC.59.0508	L:T:CD8:EMRA
JTC.60.0508	L:T:CD8:EMRA
JTC.6.0508	L:T:CD8:EMRA
JTC.61.0508	L:T:CD8:EM
JTC.62.0508	L:T:CD8:EM
JTC.63.0508	L:T:CD8:EM
JTC.64.0508	L:T:CD8:TRM
JTC.65.0508	L:T:CD8:EMRA
JTC.66.0508	L:T:CD8:EM
JTC.67.0508	L:T:CD8:EMRA
JTC.68.0508	L:T:CD8:EMRA
JTC.69.0508	L:T:CD8:EMRA
JTC.70.0508	L:T:CD8:EMRA
JTC.7.0508	L:T:CD8:EMRA
JTC.71.0508	L:T:CD8:EM
JTC.72.0508	L:T:CD8:EMRA
JTC.73.0508	L:T:CD8:EMRA
JTC.74.0508	L:T:CD8:EMRA
JTC.75.0508	L:T:CD8:EMRA
JTC.76.0508	L:T:CD8:EMRA
JTC.77.0508	L:T:CD8:EM
JTC.78.0508	L:T:CD8:EMRA
JTC.79.0508	L:T:CD8:Ex
JTC.80.0508	L:T:CD8:EM
JTC.8.0508	L:T:CD8:EM
JTC.81.0508	L:T:CD8:EMRA
JTC.82.0508	L:T:CD8:EMRA
