Cell	ImmClassifier_prediction
HN25_P24_G01_S169_comb	CD34
HN28_P15_C06_S318_comb	L:T:CD4:Ex
HN28_P15_H03_S375_comb	L:T:CD4:Treg
HN28_P6_H11_S191_comb	L:T:CD4:Treg
HN28_P6_C05_S125_comb	M:cDC
HN26_P14_D07_S235_comb	L:T:CD4:CM
HN26_P5_D11_S47_comb	M:cDC
HNSCC26_P12_B06_S210_comb	CD34
HN28_P6_H01_S181_comb	CD34
HN26_P14_A12_S204_comb	CD34
HN25_P5_F08_S68_comb	L:T:CD4:Treg
HN25_P24_G08_S176_comb	CD34
HN25_P5_A08_S8_comb	L:T:CD4:TRM
HNSCC26_P12_C11_S227_comb	L:B
HN28_P15_E08_S344_comb	CD34
HNSCC26_P24_G10_S370_comb	CD34
HN25_P25_D07_S331_comb	L:T:CD4:Treg
HN26_P14_E09_S249_comb	CD34
HN28_P15_H01_S373_comb	M:cDC
HN26_P6_C06_S30_comb	L:B
HN26_P5_C11_S35_comb	L:B
HN26_P14_H08_S284_comb	L:T:CD4:Treg
HN26_P25_D05_S137_comb	CD34
HNSCC26_P12_E01_S241_comb	L:T:CD4:TRM
HNSCC26_P24_C12_S324_comb	L:T:CD4:Naive
HN25_P23_F08_S260_comb	CD34
HN28_P15_H07_S379_comb	L:T:CD4:CM
HN25_P5_H03_S87_comb	L:T:CD4:Treg
HN25_P25_G11_S371_comb	L:T:CD4:CM
HN25_P23_F07_S259_comb	L:B:PC
HNSCC26_P12_B01_S205_comb	CD34
HN25_P23_D04_S232_comb	L:T:CD4:Naive
HN25_P25_E12_S348_comb	CD34
HN26_P25_F02_S158_comb	CD34
HN28_P15_F08_S356_comb	L:T:CD4:TRM
HN25_P5_D09_S45_comb	CD34
HN25_P24_D02_S134_comb	CD34
HN25_P25_E09_S345_comb	L:T:CD4:TRM
HN28_P6_F03_S159_comb	L:T:CD4:TRM
HN25_P25_C09_S321_comb	CD34
HN28_P6_D05_S137_comb	L:B
HNSCC26_P24_G09_S369_comb	L:B
HN25_P25_B07_S307_comb	L:T:CD4:Treg
HN26_P13_E05_S149_comb	CD34
HN26_P14_D01_S229_comb	L:T:CD4:Ex
HN26_P5_D02_S38_comb	M:cDC
HN25_P23_D01_S229_comb	CD34
HN26_P6_E02_S50_comb	M:cDC
HN26_P26_G10_S370_comb	M:cDC
HN26_P13_F11_S167_comb	CD34
HN26_P25_A12_S108_comb	CD34
HN28_P15_D08_S332_comb	M:cDC
HN26_P6_E09_S57_comb	L:B
HN28_P6_D11_S143_comb	CD34
HNSCC26_P24_D06_S330_comb	CD34
HN25_P24_A04_S100_comb	L:T:CD4:Naive
HN25_P24_E01_S145_comb	L:B
HN28_P15_B09_S309_comb	L:T:CD4:Treg
HNSCC26_P24_G01_S361_comb	L:B
HN25_P5_H11_S95_comb	L:T:CD4:CM
HN25_P24_A01_S97_comb	CD34
HN26_P6_B09_S21_comb	L:T:CD4:EM
HN26_P26_A10_S298_comb	CD34
HN28_P6_A05_S101_comb	M:Mast
HN26_P14_E01_S241_comb	M:cDC
HN28_P6_A04_S100_comb	L:T:CD4:TRM
HN25_P5_H05_S89_comb	L:T:CD4:TRM
HN25_P23_D03_S231_comb	M:cDC
HN28_P6_B04_S112_comb	CD34
HN26_P13_E01_S145_comb	CD34
HNSCC26_P12_D01_S229_comb	L:T:CD4:Treg
HN26_P25_E04_S148_comb	L:T:CD4:Treg
HN26_P14_A04_S196_comb	CD34
HNSCC26_P24_A01_S289_comb	L:B
HN28_P15_C02_S314_comb	CD34
HN25_P23_E02_S242_comb	M:cDC
HN26_P13_E09_S153_comb	M:cDC
HN25_P24_A12_S108_comb	L:T:CD4:TRM
HN25_P25_H09_S381_comb	L:B
HN25_P5_A10_S10_comb	L:T:CD4:TRM
HNSCC26_P12_D08_S236_comb	CD34
HN25_P24_F01_S157_comb	L:T:CD4:Naive
HN26_P5_D01_S37_comb	CD34
HN26_P6_A04_S4_comb	CD34
HNSCC26_P24_E04_S340_comb	L:T:CD4:Naive
HN26_P26_B07_S307_comb	CD34
HN28_P15_F06_S354_comb	M:cDC
HN25_P5_E01_S49_comb	L:T:CD4:Treg
HN28_P6_B06_S114_comb	L:T:CD4:Treg
HNSCC26_P24_H07_S379_comb	L:B
HN26_P26_G01_S361_comb	CD34
HN26_P26_A12_S300_comb	CD34
HN26_P14_C12_S228_comb	CD34
HN26_P5_C03_S27_comb	L:T:CD4:TRM
HN28_P6_D07_S139_comb	L:B
HN26_P25_G06_S174_comb	CD34
HN25_P5_B02_S14_comb	L:T:CD4:Treg
HN25_P25_A10_S298_comb	L:T:CD4:Treg
HN25_P25_A06_S294_comb	L:T:CD4:Treg
HN26_P5_D06_S42_comb	CD34
HNSCC26_P12_E08_S248_comb	M:pDC
HN28_P15_A11_S299_comb	CD34
HN28_P6_F04_S160_comb	CD34
HN28_P6_E07_S151_comb	L:B
HN26_P5_C12_S36_comb	L:T:CD4:TRM
HN28_P15_B04_S304_comb	M:cDC
HN26_P6_H10_S94_comb	CD34
HN26_P26_C05_S317_comb	CD34:HSC
HN28_P6_E04_S148_comb	CD34
HN25_P25_G02_S362_comb	L:T:CD4:Naive
HN25_P5_H01_S85_comb	L:T:CD4:TRM
HN25_P24_F12_S168_comb	CD34
HN26_P25_H08_S188_comb	CD34
HN28_P15_C04_S316_comb	L:T:CD4:Naive
HN26_P5_F12_S72_comb	L:T:CD4:Ex
HN26_P25_H06_S186_comb	CD34
HNSCC26_P12_D02_S230_comb	L:T:CD4:Treg
HN28_P6_F08_S164_comb	L:B
HN25_P24_B07_S115_comb	CD34
HN28_P15_B11_S311_comb	CD34
HN26_P25_H05_S185_comb	CD34
HN28_P6_F11_S167_comb	CD34
HNSCC26_P24_E12_S348_comb	CD34
HN26_P6_G01_S73_comb	CD34
HN28_P6_F10_S166_comb	CD34
HN25_P24_A05_S101_comb	L:T:CD4:Ex
HN25_P25_B05_S305_comb	CD34
HN25_P5_G04_S76_comb	L:T:CD8:EM
HN26_P13_G08_S176_comb	L:B
HN26_P25_D08_S140_comb	CD34
HN25_P5_C11_S35_comb	M:cDC
HN25_P5_E03_S51_comb	L:B
HN28_P15_G11_S371_comb	L:T:CD4:Naive
HN25_P23_B08_S212_comb	CD34
HN25_P5_F02_S62_comb	L:T:CD4:TRM
HN25_P5_C10_S34_comb	CD34
HN26_P13_G01_S169_comb	CD34
HN26_P6_F09_S69_comb	CD34
HN25_P24_B01_S109_comb	CD34
HN25_P25_A08_S296_comb	CD34
HN26_P26_D07_S331_comb	M:cDC
HNSCC26_P24_G06_S366_comb	L:B
HNSCC26_P12_F06_S258_comb	L:B
HN25_P5_F11_S71_comb	CD34
HN25_P23_A02_S194_comb	CD34
HN26_P26_H03_S375_comb	CD34
HN26_P26_B05_S305_comb	L:T:CD4:EM
HN25_P5_H07_S91_comb	L:T:CD4:TRM
HN26_P6_H04_S88_comb	L:T:CD4:Treg
HN26_P13_D11_S143_comb	CD34
HN26_P26_B02_S302_comb	CD34
HN25_P23_F01_S253_comb	L:T:CD4:Ex
HN28_P15_A08_S296_comb	L:T:CD4:Treg
HN25_P24_A02_S98_comb	CD34
HN25_P5_G08_S80_comb	L:T:CD4:TRM
HN26_P25_G04_S172_comb	CD34
HN25_P23_D12_S240_comb	CD34
HN26_P6_A05_S5_comb	CD34
HN28_P15_H04_S376_comb	L:B:PC
HN26_P26_C09_S321_comb	M:Mast
HN25_P5_F06_S66_comb	L:T:CD4:TRM
HN28_P6_C10_S130_comb	L:T:CD4:TRM
HN25_P25_A11_S299_comb	L:B
HN25_P5_B09_S21_comb	CD34
HN26_P5_G08_S80_comb	CD34
